,07-12-21-11-02-04_fitted_on_100_EPOCHS,real,07-12-21-13-05-13_fitted_on_100_EPOCHS,07-12-21-15-32-10_fitted_on_100_EPOCHS,07-12-21-18-20-59_fitted_on_100_EPOCHS,07-12-21-20-59-27_fitted_on_100_EPOCHS,07-12-21-11-02-04_fitted_on_100_EPOCHS_weight,07-12-21-13-05-13_fitted_on_100_EPOCHS_weight,07-12-21-15-32-10_fitted_on_100_EPOCHS_weight,07-12-21-18-20-59_fitted_on_100_EPOCHS_weight,07-12-21-20-59-27_fitted_on_100_EPOCHS_weight
0,0,0,0,0,2,0,1.0,1.0,1.0,1.0,1.0
1,0,0,0,0,2,0,,,,,
2,0,0,0,0,2,0,,,,,
3,0,0,0,0,2,0,,,,,
4,0,0,0,0,2,0,,,,,
5,0,0,0,0,2,0,,,,,
6,0,1,0,0,2,0,,,,,
7,0,2,0,0,2,0,,,,,
8,0,2,0,2,2,0,,,,,
9,2,2,0,2,2,0,,,,,
10,2,2,0,2,2,2,,,,,
11,2,2,0,2,2,2,,,,,
12,2,2,2,2,2,2,,,,,
13,0,2,2,2,2,2,,,,,
14,2,2,2,2,2,2,,,,,
15,2,2,2,2,2,2,,,,,
16,0,2,2,2,2,2,,,,,
17,2,2,2,2,2,2,,,,,
18,2,2,2,2,2,2,,,,,
19,2,2,2,2,2,2,,,,,
20,2,2,2,2,2,2,,,,,
21,2,2,2,2,2,2,,,,,
22,2,2,2,0,0,2,,,,,
23,0,2,2,0,2,2,,,,,
24,2,2,2,2,2,0,,,,,
25,2,2,2,2,2,0,,,,,
26,2,2,2,0,2,0,,,,,
27,2,2,2,0,2,0,,,,,
28,2,2,0,2,2,0,,,,,
29,2,2,2,2,2,0,,,,,
30,2,2,2,2,2,0,,,,,
31,2,0,2,2,2,0,,,,,
32,2,2,2,0,2,0,,,,,
33,2,2,2,2,2,0,,,,,
34,2,2,2,2,2,0,,,,,
35,2,2,2,2,2,0,,,,,
36,2,2,2,2,2,0,,,,,
37,2,2,2,0,2,0,,,,,
38,2,0,2,0,2,0,,,,,
39,2,0,2,0,2,0,,,,,
40,2,0,2,0,2,0,,,,,
41,2,0,0,0,2,0,,,,,
42,0,0,0,0,2,0,,,,,
43,0,0,0,0,2,0,,,,,
44,0,0,0,0,2,0,,,,,
45,0,0,0,0,2,0,,,,,
46,0,0,0,0,2,0,,,,,
47,0,0,0,0,2,0,,,,,
48,0,0,0,0,2,0,,,,,
49,0,0,0,0,0,0,,,,,
50,0,0,2,2,2,0,,,,,
51,0,0,2,2,2,0,,,,,
52,0,0,2,2,2,0,,,,,
53,0,0,2,2,2,0,,,,,
54,0,0,2,2,2,0,,,,,
55,2,0,2,2,2,0,,,,,
56,2,0,2,2,2,0,,,,,
57,2,0,2,2,2,2,,,,,
58,0,0,2,2,2,0,,,,,
59,2,0,2,2,2,0,,,,,
60,0,0,2,2,2,2,,,,,
61,2,0,2,2,2,2,,,,,
62,0,0,2,2,2,2,,,,,
63,2,2,2,2,2,2,,,,,
64,2,2,2,2,2,2,,,,,
65,2,1,0,0,2,0,,,,,
66,0,0,0,0,2,2,,,,,
67,0,0,0,0,2,2,,,,,
68,0,0,2,0,2,2,,,,,
69,0,0,2,0,2,2,,,,,
70,2,0,2,0,2,2,,,,,
71,2,0,2,2,0,2,,,,,
72,2,0,2,0,2,2,,,,,
73,2,0,2,0,2,2,,,,,
74,2,2,2,0,2,2,,,,,
75,2,0,2,0,2,2,,,,,
76,0,0,0,0,2,0,,,,,
77,0,0,0,0,2,0,,,,,
78,0,0,0,0,2,0,,,,,
79,0,0,0,2,0,0,,,,,
80,2,0,0,2,2,0,,,,,
81,2,2,2,2,2,2,,,,,
82,2,2,2,2,0,2,,,,,
83,2,2,2,2,0,2,,,,,
84,2,2,2,2,0,2,,,,,
85,2,2,2,2,0,2,,,,,
86,2,2,2,2,0,0,,,,,
87,2,2,2,2,0,0,,,,,
88,2,2,2,0,2,0,,,,,
89,0,2,2,0,0,0,,,,,
90,0,2,2,0,0,0,,,,,
91,0,2,2,0,0,0,,,,,
92,0,0,0,0,2,0,,,,,
93,0,0,0,0,2,0,,,,,
94,0,0,0,0,2,0,,,,,
95,0,0,0,0,2,0,,,,,
96,0,0,0,0,0,0,,,,,
97,0,0,0,0,2,0,,,,,
98,0,0,0,0,2,0,,,,,
99,0,0,0,0,2,0,,,,,
100,2,0,0,0,2,2,,,,,
101,0,0,0,0,2,2,,,,,
102,2,2,0,0,2,2,,,,,
103,2,2,2,0,2,2,,,,,
104,2,2,2,0,2,2,,,,,
105,2,2,2,0,2,2,,,,,
106,2,2,0,0,2,0,,,,,
107,2,0,0,0,2,2,,,,,
108,2,0,0,0,2,2,,,,,
109,2,2,0,2,2,2,,,,,
110,2,2,0,2,2,2,,,,,
111,2,2,0,2,2,2,,,,,
112,2,2,2,2,2,2,,,,,
113,2,2,2,2,2,2,,,,,
114,2,2,2,2,2,2,,,,,
115,2,2,2,2,0,2,,,,,
116,2,2,2,2,2,2,,,,,
117,2,2,2,2,2,2,,,,,
118,2,2,2,2,2,2,,,,,
119,2,2,2,2,2,2,,,,,
120,2,2,2,0,2,2,,,,,
121,2,2,2,0,2,2,,,,,
122,2,2,2,0,2,2,,,,,
123,2,2,2,0,2,0,,,,,
124,0,2,2,0,2,0,,,,,
125,2,2,2,2,2,0,,,,,
126,2,2,2,2,2,0,,,,,
127,2,2,2,2,2,0,,,,,
128,2,2,2,2,0,0,,,,,
129,2,2,2,2,2,0,,,,,
130,2,2,2,2,0,2,,,,,
131,2,2,2,0,2,2,,,,,
132,2,2,2,0,2,2,,,,,
133,2,2,2,0,2,2,,,,,
134,2,2,2,0,0,2,,,,,
135,0,2,2,0,0,0,,,,,
136,2,0,2,0,0,2,,,,,
137,2,0,2,0,0,0,,,,,
138,0,0,0,0,0,0,,,,,
139,2,0,0,0,2,0,,,,,
140,2,0,0,0,0,0,,,,,
141,2,0,0,0,0,0,,,,,
142,2,0,2,0,0,2,,,,,
143,2,0,2,0,0,2,,,,,
144,2,0,2,0,0,2,,,,,
145,2,0,2,0,2,2,,,,,
146,2,0,2,0,2,2,,,,,
147,2,0,2,0,0,2,,,,,
148,0,2,2,0,2,0,,,,,
149,0,2,0,0,2,0,,,,,
150,0,2,2,0,2,0,,,,,
151,2,2,0,0,0,0,,,,,
152,0,2,0,0,2,0,,,,,
153,0,2,0,0,0,0,,,,,
154,1,2,0,0,2,0,,,,,
155,1,2,0,0,0,0,,,,,
156,2,2,0,0,0,0,,,,,
157,2,0,0,0,0,0,,,,,
158,2,0,0,0,0,0,,,,,
159,0,0,0,0,0,0,,,,,
160,0,0,0,0,2,0,,,,,
161,0,0,0,0,2,0,,,,,
162,0,0,0,0,2,0,,,,,
163,0,0,0,0,0,0,,,,,
164,0,0,0,2,2,0,,,,,
165,0,0,0,2,2,0,,,,,
166,0,0,0,2,2,0,,,,,
167,0,0,0,2,2,0,,,,,
168,0,0,0,2,2,0,,,,,
169,0,0,0,2,2,0,,,,,
170,0,0,0,2,2,0,,,,,
171,0,0,0,2,2,0,,,,,
172,0,0,0,2,2,0,,,,,
173,0,0,0,2,0,0,,,,,
174,0,0,0,0,2,0,,,,,
175,0,0,0,0,2,0,,,,,
176,0,0,0,1,2,0,,,,,
177,0,0,0,1,2,0,,,,,
178,0,0,0,1,2,0,,,,,
179,0,0,0,0,2,0,,,,,
180,0,0,0,0,2,0,,,,,
181,0,0,0,0,2,0,,,,,
182,0,0,0,0,2,0,,,,,
183,0,0,0,0,2,0,,,,,
184,0,0,0,0,2,0,,,,,
185,0,1,0,2,2,0,,,,,
186,0,2,0,2,2,0,,,,,
187,0,2,2,2,2,0,,,,,
188,2,2,2,2,2,2,,,,,
189,2,2,2,2,0,2,,,,,
190,0,2,2,2,2,2,,,,,
191,2,2,2,2,2,2,,,,,
192,0,2,2,2,0,2,,,,,
193,0,2,2,0,2,2,,,,,
194,0,2,2,0,2,0,,,,,
195,0,1,2,0,2,0,,,,,
196,0,0,0,0,2,0,,,,,
197,0,0,0,0,2,0,,,,,
198,0,0,0,0,2,1,,,,,
199,0,0,0,0,2,1,,,,,
200,0,0,0,0,2,1,,,,,
201,0,0,0,0,2,1,,,,,
202,0,0,0,0,2,1,,,,,
203,0,0,0,0,2,1,,,,,
204,0,0,0,0,2,1,,,,,
205,0,0,0,0,2,1,,,,,
206,0,0,0,0,2,1,,,,,
207,0,2,0,0,2,1,,,,,
208,0,1,0,0,2,0,,,,,
209,0,2,0,0,1,0,,,,,
210,0,0,0,0,0,0,,,,,
211,0,0,0,0,2,0,,,,,
212,0,0,0,0,2,0,,,,,
213,0,1,0,2,2,0,,,,,
214,0,2,0,2,2,0,,,,,
215,0,1,0,2,2,0,,,,,
216,1,1,2,0,2,0,,,,,
217,1,2,2,0,2,0,,,,,
218,1,2,0,0,2,0,,,,,
219,2,2,0,0,2,2,,,,,
220,1,2,2,2,2,2,,,,,
221,2,2,2,2,2,2,,,,,
222,2,2,2,2,2,2,,,,,
223,2,2,2,2,2,2,,,,,
224,2,2,2,2,2,2,,,,,
225,2,2,2,2,2,2,,,,,
226,2,2,2,2,2,2,,,,,
227,2,2,2,2,2,2,,,,,
228,2,0,2,2,2,2,,,,,
229,2,0,0,2,2,2,,,,,
230,0,0,0,0,2,2,,,,,
231,2,0,0,0,2,2,,,,,
232,0,0,0,2,2,2,,,,,
233,0,0,0,2,2,0,,,,,
234,0,0,0,2,2,2,,,,,
235,2,0,0,2,2,2,,,,,
236,2,2,0,2,2,2,,,,,
237,2,2,0,2,2,2,,,,,
238,2,2,0,2,2,2,,,,,
239,2,2,0,2,2,2,,,,,
240,2,2,0,2,2,2,,,,,
241,2,2,2,2,2,2,,,,,
242,2,2,2,2,2,2,,,,,
243,2,2,2,2,2,2,,,,,
244,2,2,2,2,0,2,,,,,
245,2,2,2,0,0,2,,,,,
